pair_id,llm_judge_verdict,llm_judge_score
P0278,PROCEED,0.782
P0279,PROCEED,0.89
P0280,HOLD,0.96
P0281,HOLD,0.802
P0282,PROCEED,0.781
P0283,PROCEED,0.785
P0284,PROCEED,0.898
P0285,PROCEED,0.952
P0286,HOLD,0.891
P0287,HOLD,0.819
P0288,PROCEED,0.879
P0289,PROCEED,0.853
P0290,PROCEED,0.933
P0291,HOLD,0.85
P0292,PROCEED,0.921
P0293,PROCEED,0.787
P0294,PROCEED,0.918
P0295,PROCEED,0.834
P0296,PROCEED,0.92
P0297,PROCEED,0.929
P0298,PROCEED,0.869
P0299,PROCEED,0.953
P0300,PROCEED,0.852
P0301,PROCEED,0.882
P0302,PROCEED,0.916
P0303,PROCEED,0.871
P0304,PROCEED,0.788
P0305,PROCEED,0.804
P0306,PROCEED,0.865
P0307,PROCEED,0.831
P0308,PROCEED,0.903
P0309,PROCEED,0.849
P0310,PROCEED,0.875
P0311,PROCEED,0.793
P0312,PROCEED,0.89
P0313,PROCEED,0.845
P0314,PROCEED,1.0
P0315,PROCEED,0.85
P0316,PROCEED,0.808
P0317,HOLD,0.892
P0318,HOLD,0.871
P0319,PROCEED,0.873
P0320,PROCEED,0.884
P0321,HOLD,0.889
P0322,PROCEED,0.802
P0323,PROCEED,0.833
P0324,PROCEED,0.854
P0325,PROCEED,0.83
P0326,PROCEED,0.966
P0327,PROCEED,0.968
P0328,PROCEED,0.91
P0329,PROCEED,0.929
P0330,PROCEED,0.789
P0331,PROCEED,0.931
P0332,PROCEED,0.935
P0333,PROCEED,0.795
P0334,PROCEED,0.87
P0335,PROCEED,0.905
P0336,PROCEED,0.904
P0337,PROCEED,0.952
P0338,PROCEED,0.838
P0339,PROCEED,0.81
P0340,PROCEED,0.821
P0341,PROCEED,0.959
P0342,PROCEED,0.935
P0343,PROCEED,0.894
P0344,HOLD,0.881
P0345,PROCEED,0.944
P0346,PROCEED,0.936
P0347,PROCEED,0.825
P0348,PROCEED,0.829
P0349,PROCEED,0.956
P0350,PROCEED,0.959
P0351,PROCEED,0.902
P0352,PROCEED,0.806
P0353,PROCEED,0.908
P0354,PROCEED,0.935
P0355,HOLD,0.877
P0356,HOLD,0.836
P0357,PROCEED,0.912
P0358,PROCEED,0.882
P0359,HOLD,0.86
P0360,PROCEED,0.77
P0361,PROCEED,0.942
P0362,PROCEED,0.879
P0363,PROCEED,0.871
P0364,HOLD,0.809
P0365,PROCEED,0.858
P0366,PROCEED,0.895
P0367,PROCEED,0.877
P0368,PROCEED,0.765
P0369,PROCEED,0.997
P0370,PROCEED,0.765
P0371,PROCEED,0.87
P0372,PROCEED,0.891
P0373,PROCEED,0.826
P0374,PROCEED,0.896
P0375,PROCEED,0.819
P0376,PROCEED,0.892
P0377,PROCEED,0.946
P0378,PROCEED,0.778
P0379,PROCEED,0.826
P0380,HOLD,0.861
P0381,PROCEED,0.725
P0382,PROCEED,0.944
P0383,PROCEED,0.727
P0384,PROCEED,0.796
P0385,PROCEED,0.853
P0386,PROCEED,0.784
P0387,PROCEED,0.858
P0388,HOLD,0.894
P0389,PROCEED,0.831
P0390,PROCEED,0.862
P0391,PROCEED,0.779
P0392,PROCEED,0.79
P0393,PROCEED,0.83
P0394,HOLD,0.901
P0395,HOLD,0.973
P0396,PROCEED,0.876
P0397,HOLD,0.815
P0398,PROCEED,0.914
P0399,PROCEED,0.864
P0400,PROCEED,0.744
P0401,PROCEED,0.897
P0402,PROCEED,0.966
P0403,PROCEED,0.925
P0404,PROCEED,0.8
P0405,PROCEED,0.873
P0406,HOLD,0.838
P0407,PROCEED,0.908
P0408,PROCEED,0.698
P0409,HOLD,0.906
P0410,HOLD,0.862
P0411,PROCEED,0.899
P0412,PROCEED,0.889
P0413,PROCEED,0.86
P0414,PROCEED,0.851
P0415,PROCEED,0.822
P0416,PROCEED,0.93
P0417,PROCEED,0.925
P0418,PROCEED,0.895
P0419,PROCEED,0.814
P0420,PROCEED,0.807
P0421,PROCEED,0.78
P0422,PROCEED,0.817
P0423,HOLD,0.898
P0424,PROCEED,0.866
P0425,PROCEED,0.839
P0426,PROCEED,0.88
P0427,PROCEED,0.833
P0428,PROCEED,0.86
P0429,PROCEED,0.822
P0430,PROCEED,0.825
P0431,PROCEED,0.8
P0432,HOLD,0.843
P0433,PROCEED,0.862
P0434,PROCEED,0.831
P0435,PROCEED,0.832
P0436,HOLD,0.817
P0437,PROCEED,0.798
P0438,PROCEED,0.875
P0439,PROCEED,0.895
P0440,PROCEED,0.816
P0441,PROCEED,0.826
P0442,PROCEED,0.774
P0443,PROCEED,0.775
P0444,PROCEED,0.956
P0445,PROCEED,0.873
P0446,HOLD,0.696
P0447,PROCEED,0.91
P0448,PROCEED,0.872
P0449,PROCEED,0.839
P0450,PROCEED,0.703
P0451,PROCEED,0.85
P0452,PROCEED,0.737
P0453,PROCEED,0.816
P0454,PROCEED,0.787
P0455,PROCEED,0.84
P0456,PROCEED,0.856
P0457,PROCEED,0.807
P0458,HOLD,0.916
P0459,PROCEED,0.889
P0460,PROCEED,0.918
P0461,PROCEED,0.783
P0462,PROCEED,0.813
P0463,PROCEED,0.932
P0464,PROCEED,0.961
P0465,PROCEED,0.935
P0466,PROCEED,0.929
P0467,PROCEED,0.829
P0468,PROCEED,0.955
P0469,PROCEED,0.769
P0470,PROCEED,0.785
P0471,PROCEED,0.882
P0472,PROCEED,0.806
P0473,PROCEED,0.853
P0474,PROCEED,0.909
P0475,PROCEED,0.804
P0476,PROCEED,0.883
P0477,HOLD,0.968
P0478,PROCEED,0.926
P0479,PROCEED,0.94
P0480,PROCEED,0.704
P0481,PROCEED,0.897
P0482,PROCEED,0.928
P0483,PROCEED,0.982
P0484,PROCEED,0.888
P0485,PROCEED,0.841
P0486,PROCEED,0.878
P0487,PROCEED,0.866
P0488,PROCEED,0.929
P0489,PROCEED,0.717
P0490,PROCEED,0.911
P0491,PROCEED,0.86
P0492,PROCEED,0.802
P0493,PROCEED,0.823
P0494,PROCEED,0.967
P0495,PROCEED,0.851
P0496,PROCEED,0.861
P0497,PROCEED,0.771
P0498,PROCEED,0.864
P0499,PROCEED,1.0
