label_source,family_relation,metric,estimate,lower,upper,pairs,service_clusters,threshold,interval_method,quantity_status,interpretation,estimate_number_id,lower_number_id,upper_number_id,pairs_number_id,service_clusters_number_id,threshold_number_id
reviewer_1,same_family_stated_in_frozen_plan,calibration_intercept,,,,120,24,0.5,not_estimable_when_logistic_fit_singular,assumed_probability_mapping,same_family_dependent_no_adjudicated_ground_truth,,,,N-JUDGE-EVALUATION-0011-PAIRS,N-JUDGE-EVALUATION-0011-SERVICE_CLUSTERS,N-JUDGE-EVALUATION-0011-THRESHOLD
reviewer_1,same_family_stated_in_frozen_plan,calibration_slope,,,,120,24,0.5,not_estimable_when_logistic_fit_singular,assumed_probability_mapping,same_family_dependent_no_adjudicated_ground_truth,,,,N-JUDGE-EVALUATION-0012-PAIRS,N-JUDGE-EVALUATION-0012-SERVICE_CLUSTERS,N-JUDGE-EVALUATION-0012-THRESHOLD
reviewer_2,same_family_stated_in_frozen_plan,sensitivity,0.958904109589041,0.9027777777777778,1.0,120,24,0.5,service_cluster_percentile_bootstrap,observed_reviewer_specific,same_family_dependent_no_adjudicated_ground_truth,N-JUDGE-EVALUATION-0013-ESTIMATE,N-JUDGE-EVALUATION-0013-LOWER,N-JUDGE-EVALUATION-0013-UPPER,N-JUDGE-EVALUATION-0013-PAIRS,N-JUDGE-EVALUATION-0013-SERVICE_CLUSTERS,N-JUDGE-EVALUATION-0013-THRESHOLD
reviewer_2,same_family_stated_in_frozen_plan,specificity,0.1702127659574468,0.05405405405405406,0.3023255813953488,120,24,0.5,service_cluster_percentile_bootstrap,observed_reviewer_specific,same_family_dependent_no_adjudicated_ground_truth,N-JUDGE-EVALUATION-0014-ESTIMATE,N-JUDGE-EVALUATION-0014-LOWER,N-JUDGE-EVALUATION-0014-UPPER,N-JUDGE-EVALUATION-0014-PAIRS,N-JUDGE-EVALUATION-0014-SERVICE_CLUSTERS,N-JUDGE-EVALUATION-0014-THRESHOLD
reviewer_2,same_family_stated_in_frozen_plan,ppv,0.6422018348623854,0.5463917525773195,0.7377128760146425,120,24,0.5,service_cluster_percentile_bootstrap,observed_reviewer_specific,same_family_dependent_no_adjudicated_ground_truth,N-JUDGE-EVALUATION-0015-ESTIMATE,N-JUDGE-EVALUATION-0015-LOWER,N-JUDGE-EVALUATION-0015-UPPER,N-JUDGE-EVALUATION-0015-PAIRS,N-JUDGE-EVALUATION-0015-SERVICE_CLUSTERS,N-JUDGE-EVALUATION-0015-THRESHOLD
reviewer_2,same_family_stated_in_frozen_plan,npv,0.7272727272727273,0.46153846153846156,1.0,120,24,0.5,service_cluster_percentile_bootstrap,observed_reviewer_specific,same_family_dependent_no_adjudicated_ground_truth,N-JUDGE-EVALUATION-0016-ESTIMATE,N-JUDGE-EVALUATION-0016-LOWER,N-JUDGE-EVALUATION-0016-UPPER,N-JUDGE-EVALUATION-0016-PAIRS,N-JUDGE-EVALUATION-0016-SERVICE_CLUSTERS,N-JUDGE-EVALUATION-0016-THRESHOLD
reviewer_2,same_family_stated_in_frozen_plan,balanced_accuracy,0.5645584377732439,0.5101183217189315,0.6330196821459738,120,24,0.5,service_cluster_percentile_bootstrap,observed_reviewer_specific,same_family_dependent_no_adjudicated_ground_truth,N-JUDGE-EVALUATION-0017-ESTIMATE,N-JUDGE-EVALUATION-0017-LOWER,N-JUDGE-EVALUATION-0017-UPPER,N-JUDGE-EVALUATION-0017-PAIRS,N-JUDGE-EVALUATION-0017-SERVICE_CLUSTERS,N-JUDGE-EVALUATION-0017-THRESHOLD
reviewer_2,same_family_stated_in_frozen_plan,auc,0.5540658700087439,0.4471270593933525,0.671260759903739,120,24,0.5,service_cluster_percentile_bootstrap,assumed_probability_mapping,same_family_dependent_no_adjudicated_ground_truth,N-JUDGE-EVALUATION-0018-ESTIMATE,N-JUDGE-EVALUATION-0018-LOWER,N-JUDGE-EVALUATION-0018-UPPER,N-JUDGE-EVALUATION-0018-PAIRS,N-JUDGE-EVALUATION-0018-SERVICE_CLUSTERS,N-JUDGE-EVALUATION-0018-THRESHOLD
reviewer_2,same_family_stated_in_frozen_plan,brier,0.28202747499999997,0.21258397229437231,0.35326547858422935,120,24,0.5,service_cluster_percentile_bootstrap,assumed_probability_mapping,same_family_dependent_no_adjudicated_ground_truth,N-JUDGE-EVALUATION-0019-ESTIMATE,N-JUDGE-EVALUATION-0019-LOWER,N-JUDGE-EVALUATION-0019-UPPER,N-JUDGE-EVALUATION-0019-PAIRS,N-JUDGE-EVALUATION-0019-SERVICE_CLUSTERS,N-JUDGE-EVALUATION-0019-THRESHOLD
reviewer_2,same_family_stated_in_frozen_plan,log_loss,0.8643282249350137,0.6653335244289016,1.0754701407125706,120,24,0.5,service_cluster_percentile_bootstrap,assumed_probability_mapping,same_family_dependent_no_adjudicated_ground_truth,N-JUDGE-EVALUATION-0020-ESTIMATE,N-JUDGE-EVALUATION-0020-LOWER,N-JUDGE-EVALUATION-0020-UPPER,N-JUDGE-EVALUATION-0020-PAIRS,N-JUDGE-EVALUATION-0020-SERVICE_CLUSTERS,N-JUDGE-EVALUATION-0020-THRESHOLD
reviewer_2,same_family_stated_in_frozen_plan,average_precision,0.6676440990995258,0.573496431653004,0.7786376591475388,120,24,0.5,service_cluster_percentile_bootstrap,assumed_probability_mapping,same_family_dependent_no_adjudicated_ground_truth,N-JUDGE-EVALUATION-0021-ESTIMATE,N-JUDGE-EVALUATION-0021-LOWER,N-JUDGE-EVALUATION-0021-UPPER,N-JUDGE-EVALUATION-0021-PAIRS,N-JUDGE-EVALUATION-0021-SERVICE_CLUSTERS,N-JUDGE-EVALUATION-0021-THRESHOLD
reviewer_2,same_family_stated_in_frozen_plan,weighted_agreement_binary_kappa,0.14951063111711096,0.022919203697994068,0.31436136119528096,120,24,0.5,service_cluster_percentile_bootstrap,observed_reviewer_specific,same_family_dependent_no_adjudicated_ground_truth,N-JUDGE-EVALUATION-0022-ESTIMATE,N-JUDGE-EVALUATION-0022-LOWER,N-JUDGE-EVALUATION-0022-UPPER,N-JUDGE-EVALUATION-0022-PAIRS,N-JUDGE-EVALUATION-0022-SERVICE_CLUSTERS,N-JUDGE-EVALUATION-0022-THRESHOLD
reviewer_2,same_family_stated_in_frozen_plan,calibration_intercept,,,,120,24,0.5,not_estimable_when_logistic_fit_singular,assumed_probability_mapping,same_family_dependent_no_adjudicated_ground_truth,,,,N-JUDGE-EVALUATION-0023-PAIRS,N-JUDGE-EVALUATION-0023-SERVICE_CLUSTERS,N-JUDGE-EVALUATION-0023-THRESHOLD
reviewer_2,same_family_stated_in_frozen_plan,calibration_slope,,,,120,24,0.5,not_estimable_when_logistic_fit_singular,assumed_probability_mapping,same_family_dependent_no_adjudicated_ground_truth,,,,N-JUDGE-EVALUATION-0024-PAIRS,N-JUDGE-EVALUATION-0024-SERVICE_CLUSTERS,N-JUDGE-EVALUATION-0024-THRESHOLD
agreement_only_consensus,same_family_stated_in_frozen_plan,sensitivity,0.9850746268656716,0.9538461538461539,1.0,102,24,0.5,service_cluster_percentile_bootstrap,observed_reviewer_specific,same_family_dependent_no_adjudicated_ground_truth,N-JUDGE-EVALUATION-0025-ESTIMATE,N-JUDGE-EVALUATION-0025-LOWER,N-JUDGE-EVALUATION-0025-UPPER,N-JUDGE-EVALUATION-0025-PAIRS,N-JUDGE-EVALUATION-0025-SERVICE_CLUSTERS,N-JUDGE-EVALUATION-0025-THRESHOLD
agreement_only_consensus,same_family_stated_in_frozen_plan,specificity,0.11428571428571428,0.02631578947368421,0.23684210526315788,102,24,0.5,service_cluster_percentile_bootstrap,observed_reviewer_specific,same_family_dependent_no_adjudicated_ground_truth,N-JUDGE-EVALUATION-0026-ESTIMATE,N-JUDGE-EVALUATION-0026-LOWER,N-JUDGE-EVALUATION-0026-UPPER,N-JUDGE-EVALUATION-0026-PAIRS,N-JUDGE-EVALUATION-0026-SERVICE_CLUSTERS,N-JUDGE-EVALUATION-0026-THRESHOLD
agreement_only_consensus,same_family_stated_in_frozen_plan,ppv,0.6804123711340206,0.5684090909090909,0.7888888888888889,102,24,0.5,service_cluster_percentile_bootstrap,observed_reviewer_specific,same_family_dependent_no_adjudicated_ground_truth,N-JUDGE-EVALUATION-0027-ESTIMATE,N-JUDGE-EVALUATION-0027-LOWER,N-JUDGE-EVALUATION-0027-UPPER,N-JUDGE-EVALUATION-0027-PAIRS,N-JUDGE-EVALUATION-0027-SERVICE_CLUSTERS,N-JUDGE-EVALUATION-0027-THRESHOLD
agreement_only_consensus,same_family_stated_in_frozen_plan,npv,0.8,0.3333333333333333,1.0,102,24,0.5,service_cluster_percentile_bootstrap,observed_reviewer_specific,same_family_dependent_no_adjudicated_ground_truth,N-JUDGE-EVALUATION-0028-ESTIMATE,N-JUDGE-EVALUATION-0028-LOWER,N-JUDGE-EVALUATION-0028-UPPER,N-JUDGE-EVALUATION-0028-PAIRS,N-JUDGE-EVALUATION-0028-SERVICE_CLUSTERS,N-JUDGE-EVALUATION-0028-THRESHOLD
agreement_only_consensus,same_family_stated_in_frozen_plan,balanced_accuracy,0.549680170575693,0.5,0.6136363636363636,102,24,0.5,service_cluster_percentile_bootstrap,observed_reviewer_specific,same_family_dependent_no_adjudicated_ground_truth,N-JUDGE-EVALUATION-0029-ESTIMATE,N-JUDGE-EVALUATION-0029-LOWER,N-JUDGE-EVALUATION-0029-UPPER,N-JUDGE-EVALUATION-0029-PAIRS,N-JUDGE-EVALUATION-0029-SERVICE_CLUSTERS,N-JUDGE-EVALUATION-0029-THRESHOLD
agreement_only_consensus,same_family_stated_in_frozen_plan,auc,0.5104477611940299,0.3921872907167025,0.6356656873620767,102,24,0.5,service_cluster_percentile_bootstrap,assumed_probability_mapping,same_family_dependent_no_adjudicated_ground_truth,N-JUDGE-EVALUATION-0030-ESTIMATE,N-JUDGE-EVALUATION-0030-LOWER,N-JUDGE-EVALUATION-0030-UPPER,N-JUDGE-EVALUATION-0030-PAIRS,N-JUDGE-EVALUATION-0030-SERVICE_CLUSTERS,N-JUDGE-EVALUATION-0030-THRESHOLD
agreement_only_consensus,same_family_stated_in_frozen_plan,brier,0.2557432843137255,0.1782130448312916,0.33528995555490654,102,24,0.5,service_cluster_percentile_bootstrap,assumed_probability_mapping,same_family_dependent_no_adjudicated_ground_truth,N-JUDGE-EVALUATION-0031-ESTIMATE,N-JUDGE-EVALUATION-0031-LOWER,N-JUDGE-EVALUATION-0031-UPPER,N-JUDGE-EVALUATION-0031-PAIRS,N-JUDGE-EVALUATION-0031-SERVICE_CLUSTERS,N-JUDGE-EVALUATION-0031-THRESHOLD
agreement_only_consensus,same_family_stated_in_frozen_plan,log_loss,0.7953067690143512,0.573080668901359,1.026723031532208,102,24,0.5,service_cluster_percentile_bootstrap,assumed_probability_mapping,same_family_dependent_no_adjudicated_ground_truth,N-JUDGE-EVALUATION-0032-ESTIMATE,N-JUDGE-EVALUATION-0032-LOWER,N-JUDGE-EVALUATION-0032-UPPER,N-JUDGE-EVALUATION-0032-PAIRS,N-JUDGE-EVALUATION-0032-SERVICE_CLUSTERS,N-JUDGE-EVALUATION-0032-THRESHOLD
agreement_only_consensus,same_family_stated_in_frozen_plan,average_precision,0.6788195676501863,0.573895020131756,0.7986917447486321,102,24,0.5,service_cluster_percentile_bootstrap,assumed_probability_mapping,same_family_dependent_no_adjudicated_ground_truth,N-JUDGE-EVALUATION-0033-ESTIMATE,N-JUDGE-EVALUATION-0033-LOWER,N-JUDGE-EVALUATION-0033-UPPER,N-JUDGE-EVALUATION-0033-PAIRS,N-JUDGE-EVALUATION-0033-SERVICE_CLUSTERS,N-JUDGE-EVALUATION-0033-THRESHOLD
agreement_only_consensus,same_family_stated_in_frozen_plan,weighted_agreement_binary_kappa,0.12493297587131384,0.0,0.2864359686789594,102,24,0.5,service_cluster_percentile_bootstrap,observed_reviewer_specific,same_family_dependent_no_adjudicated_ground_truth,N-JUDGE-EVALUATION-0034-ESTIMATE,N-JUDGE-EVALUATION-0034-LOWER,N-JUDGE-EVALUATION-0034-UPPER,N-JUDGE-EVALUATION-0034-PAIRS,N-JUDGE-EVALUATION-0034-SERVICE_CLUSTERS,N-JUDGE-EVALUATION-0034-THRESHOLD
agreement_only_consensus,same_family_stated_in_frozen_plan,calibration_intercept,,,,102,24,0.5,not_estimable_when_logistic_fit_singular,assumed_probability_mapping,same_family_dependent_no_adjudicated_ground_truth,,,,N-JUDGE-EVALUATION-0035-PAIRS,N-JUDGE-EVALUATION-0035-SERVICE_CLUSTERS,N-JUDGE-EVALUATION-0035-THRESHOLD
agreement_only_consensus,same_family_stated_in_frozen_plan,calibration_slope,,,,102,24,0.5,not_estimable_when_logistic_fit_singular,assumed_probability_mapping,same_family_dependent_no_adjudicated_ground_truth,,,,N-JUDGE-EVALUATION-0036-PAIRS,N-JUDGE-EVALUATION-0036-SERVICE_CLUSTERS,N-JUDGE-EVALUATION-0036-THRESHOLD
