comparison_id,family,source_table,source_row,comparison,formal_null_test_run,raw_p_value,adjusted_p_value,correction_rule,reason_no_adjustment,quantity_status,source_row_number_id
F_evaluation-0020,F_evaluation,judge_evaluation,20,reviewer_2|log_loss|0.5,False,,,Benjamini_Yekutieli_FDR_0.05_if_formal_tests_are_run,frozen_sensitivity_rule_estimates_and_intervals_only_no_new_null_tests,comparison_registered_no_formal_test,N-EVALUATION-COMPARISON-LEDGER-0020-SOURCE_ROW
F_evaluation-0021,F_evaluation,judge_evaluation,21,reviewer_2|average_precision|0.5,False,,,Benjamini_Yekutieli_FDR_0.05_if_formal_tests_are_run,frozen_sensitivity_rule_estimates_and_intervals_only_no_new_null_tests,comparison_registered_no_formal_test,N-EVALUATION-COMPARISON-LEDGER-0021-SOURCE_ROW
F_evaluation-0022,F_evaluation,judge_evaluation,22,reviewer_2|weighted_agreement_binary_kappa|0.5,False,,,Benjamini_Yekutieli_FDR_0.05_if_formal_tests_are_run,frozen_sensitivity_rule_estimates_and_intervals_only_no_new_null_tests,comparison_registered_no_formal_test,N-EVALUATION-COMPARISON-LEDGER-0022-SOURCE_ROW
F_evaluation-0023,F_evaluation,judge_evaluation,23,reviewer_2|calibration_intercept|0.5,False,,,Benjamini_Yekutieli_FDR_0.05_if_formal_tests_are_run,frozen_sensitivity_rule_estimates_and_intervals_only_no_new_null_tests,comparison_registered_no_formal_test,N-EVALUATION-COMPARISON-LEDGER-0023-SOURCE_ROW
F_evaluation-0024,F_evaluation,judge_evaluation,24,reviewer_2|calibration_slope|0.5,False,,,Benjamini_Yekutieli_FDR_0.05_if_formal_tests_are_run,frozen_sensitivity_rule_estimates_and_intervals_only_no_new_null_tests,comparison_registered_no_formal_test,N-EVALUATION-COMPARISON-LEDGER-0024-SOURCE_ROW
F_evaluation-0025,F_evaluation,judge_evaluation,25,agreement_only_consensus|sensitivity|0.5,False,,,Benjamini_Yekutieli_FDR_0.05_if_formal_tests_are_run,frozen_sensitivity_rule_estimates_and_intervals_only_no_new_null_tests,comparison_registered_no_formal_test,N-EVALUATION-COMPARISON-LEDGER-0025-SOURCE_ROW
F_evaluation-0026,F_evaluation,judge_evaluation,26,agreement_only_consensus|specificity|0.5,False,,,Benjamini_Yekutieli_FDR_0.05_if_formal_tests_are_run,frozen_sensitivity_rule_estimates_and_intervals_only_no_new_null_tests,comparison_registered_no_formal_test,N-EVALUATION-COMPARISON-LEDGER-0026-SOURCE_ROW
F_evaluation-0027,F_evaluation,judge_evaluation,27,agreement_only_consensus|ppv|0.5,False,,,Benjamini_Yekutieli_FDR_0.05_if_formal_tests_are_run,frozen_sensitivity_rule_estimates_and_intervals_only_no_new_null_tests,comparison_registered_no_formal_test,N-EVALUATION-COMPARISON-LEDGER-0027-SOURCE_ROW
F_evaluation-0028,F_evaluation,judge_evaluation,28,agreement_only_consensus|npv|0.5,False,,,Benjamini_Yekutieli_FDR_0.05_if_formal_tests_are_run,frozen_sensitivity_rule_estimates_and_intervals_only_no_new_null_tests,comparison_registered_no_formal_test,N-EVALUATION-COMPARISON-LEDGER-0028-SOURCE_ROW
F_evaluation-0029,F_evaluation,judge_evaluation,29,agreement_only_consensus|balanced_accuracy|0.5,False,,,Benjamini_Yekutieli_FDR_0.05_if_formal_tests_are_run,frozen_sensitivity_rule_estimates_and_intervals_only_no_new_null_tests,comparison_registered_no_formal_test,N-EVALUATION-COMPARISON-LEDGER-0029-SOURCE_ROW
F_evaluation-0030,F_evaluation,judge_evaluation,30,agreement_only_consensus|auc|0.5,False,,,Benjamini_Yekutieli_FDR_0.05_if_formal_tests_are_run,frozen_sensitivity_rule_estimates_and_intervals_only_no_new_null_tests,comparison_registered_no_formal_test,N-EVALUATION-COMPARISON-LEDGER-0030-SOURCE_ROW
F_evaluation-0031,F_evaluation,judge_evaluation,31,agreement_only_consensus|brier|0.5,False,,,Benjamini_Yekutieli_FDR_0.05_if_formal_tests_are_run,frozen_sensitivity_rule_estimates_and_intervals_only_no_new_null_tests,comparison_registered_no_formal_test,N-EVALUATION-COMPARISON-LEDGER-0031-SOURCE_ROW
F_evaluation-0032,F_evaluation,judge_evaluation,32,agreement_only_consensus|log_loss|0.5,False,,,Benjamini_Yekutieli_FDR_0.05_if_formal_tests_are_run,frozen_sensitivity_rule_estimates_and_intervals_only_no_new_null_tests,comparison_registered_no_formal_test,N-EVALUATION-COMPARISON-LEDGER-0032-SOURCE_ROW
F_evaluation-0033,F_evaluation,judge_evaluation,33,agreement_only_consensus|average_precision|0.5,False,,,Benjamini_Yekutieli_FDR_0.05_if_formal_tests_are_run,frozen_sensitivity_rule_estimates_and_intervals_only_no_new_null_tests,comparison_registered_no_formal_test,N-EVALUATION-COMPARISON-LEDGER-0033-SOURCE_ROW
F_evaluation-0034,F_evaluation,judge_evaluation,34,agreement_only_consensus|weighted_agreement_binary_kappa|0.5,False,,,Benjamini_Yekutieli_FDR_0.05_if_formal_tests_are_run,frozen_sensitivity_rule_estimates_and_intervals_only_no_new_null_tests,comparison_registered_no_formal_test,N-EVALUATION-COMPARISON-LEDGER-0034-SOURCE_ROW
F_evaluation-0035,F_evaluation,judge_evaluation,35,agreement_only_consensus|calibration_intercept|0.5,False,,,Benjamini_Yekutieli_FDR_0.05_if_formal_tests_are_run,frozen_sensitivity_rule_estimates_and_intervals_only_no_new_null_tests,comparison_registered_no_formal_test,N-EVALUATION-COMPARISON-LEDGER-0035-SOURCE_ROW
F_evaluation-0036,F_evaluation,judge_evaluation,36,agreement_only_consensus|calibration_slope|0.5,False,,,Benjamini_Yekutieli_FDR_0.05_if_formal_tests_are_run,frozen_sensitivity_rule_estimates_and_intervals_only_no_new_null_tests,comparison_registered_no_formal_test,N-EVALUATION-COMPARISON-LEDGER-0036-SOURCE_ROW
F_evaluation-0037,F_evaluation,model_operating_point,1,all_observed_proxy_outcomes|sensitivity,False,,,Benjamini_Yekutieli_FDR_0.05_if_formal_tests_are_run,frozen_sensitivity_rule_estimates_and_intervals_only_no_new_null_tests,comparison_registered_no_formal_test,N-EVALUATION-COMPARISON-LEDGER-0037-SOURCE_ROW
F_evaluation-0038,F_evaluation,model_operating_point,2,all_observed_proxy_outcomes|specificity,False,,,Benjamini_Yekutieli_FDR_0.05_if_formal_tests_are_run,frozen_sensitivity_rule_estimates_and_intervals_only_no_new_null_tests,comparison_registered_no_formal_test,N-EVALUATION-COMPARISON-LEDGER-0038-SOURCE_ROW
F_evaluation-0039,F_evaluation,model_operating_point,3,all_observed_proxy_outcomes|ppv,False,,,Benjamini_Yekutieli_FDR_0.05_if_formal_tests_are_run,frozen_sensitivity_rule_estimates_and_intervals_only_no_new_null_tests,comparison_registered_no_formal_test,N-EVALUATION-COMPARISON-LEDGER-0039-SOURCE_ROW
F_evaluation-0040,F_evaluation,model_operating_point,4,all_observed_proxy_outcomes|npv,False,,,Benjamini_Yekutieli_FDR_0.05_if_formal_tests_are_run,frozen_sensitivity_rule_estimates_and_intervals_only_no_new_null_tests,comparison_registered_no_formal_test,N-EVALUATION-COMPARISON-LEDGER-0040-SOURCE_ROW
F_evaluation-0041,F_evaluation,model_operating_point,5,all_observed_proxy_outcomes|balanced_accuracy,False,,,Benjamini_Yekutieli_FDR_0.05_if_formal_tests_are_run,frozen_sensitivity_rule_estimates_and_intervals_only_no_new_null_tests,comparison_registered_no_formal_test,N-EVALUATION-COMPARISON-LEDGER-0041-SOURCE_ROW
F_evaluation-0042,F_evaluation,model_operating_point,6,all_observed_proxy_outcomes|auc,False,,,Benjamini_Yekutieli_FDR_0.05_if_formal_tests_are_run,frozen_sensitivity_rule_estimates_and_intervals_only_no_new_null_tests,comparison_registered_no_formal_test,N-EVALUATION-COMPARISON-LEDGER-0042-SOURCE_ROW
F_evaluation-0043,F_evaluation,model_operating_point,7,all_observed_proxy_outcomes|brier,False,,,Benjamini_Yekutieli_FDR_0.05_if_formal_tests_are_run,frozen_sensitivity_rule_estimates_and_intervals_only_no_new_null_tests,comparison_registered_no_formal_test,N-EVALUATION-COMPARISON-LEDGER-0043-SOURCE_ROW
F_evaluation-0044,F_evaluation,model_operating_point,8,all_observed_proxy_outcomes|log_loss,False,,,Benjamini_Yekutieli_FDR_0.05_if_formal_tests_are_run,frozen_sensitivity_rule_estimates_and_intervals_only_no_new_null_tests,comparison_registered_no_formal_test,N-EVALUATION-COMPARISON-LEDGER-0044-SOURCE_ROW
F_evaluation-0045,F_evaluation,model_operating_point,9,all_observed_proxy_outcomes|calibration_intercept,False,,,Benjamini_Yekutieli_FDR_0.05_if_formal_tests_are_run,frozen_sensitivity_rule_estimates_and_intervals_only_no_new_null_tests,comparison_registered_no_formal_test,N-EVALUATION-COMPARISON-LEDGER-0045-SOURCE_ROW
F_evaluation-0046,F_evaluation,model_operating_point,10,all_observed_proxy_outcomes|calibration_slope,False,,,Benjamini_Yekutieli_FDR_0.05_if_formal_tests_are_run,frozen_sensitivity_rule_estimates_and_intervals_only_no_new_null_tests,comparison_registered_no_formal_test,N-EVALUATION-COMPARISON-LEDGER-0046-SOURCE_ROW
F_evaluation-0047,F_evaluation,model_operating_point,11,all_observed_proxy_outcomes|predicted_positive_fraction,False,,,Benjamini_Yekutieli_FDR_0.05_if_formal_tests_are_run,frozen_sensitivity_rule_estimates_and_intervals_only_no_new_null_tests,comparison_registered_no_formal_test,N-EVALUATION-COMPARISON-LEDGER-0047-SOURCE_ROW
F_evaluation-0048,F_evaluation,model_operating_point,12,all_observed_proxy_outcomes|threshold_harm_to_benefit_ratio,False,,,Benjamini_Yekutieli_FDR_0.05_if_formal_tests_are_run,frozen_sensitivity_rule_estimates_and_intervals_only_no_new_null_tests,comparison_registered_no_formal_test,N-EVALUATION-COMPARISON-LEDGER-0048-SOURCE_ROW
F_evaluation-0049,F_evaluation,model_operating_point,13,all_observed_proxy_outcomes|net_benefit_at_used_threshold,False,,,Benjamini_Yekutieli_FDR_0.05_if_formal_tests_are_run,frozen_sensitivity_rule_estimates_and_intervals_only_no_new_null_tests,comparison_registered_no_formal_test,N-EVALUATION-COMPARISON-LEDGER-0049-SOURCE_ROW
F_evaluation-0050,F_evaluation,model_operating_point,14,same_referral_day_only|sensitivity,False,,,Benjamini_Yekutieli_FDR_0.05_if_formal_tests_are_run,frozen_sensitivity_rule_estimates_and_intervals_only_no_new_null_tests,comparison_registered_no_formal_test,N-EVALUATION-COMPARISON-LEDGER-0050-SOURCE_ROW
F_evaluation-0051,F_evaluation,model_operating_point,15,same_referral_day_only|specificity,False,,,Benjamini_Yekutieli_FDR_0.05_if_formal_tests_are_run,frozen_sensitivity_rule_estimates_and_intervals_only_no_new_null_tests,comparison_registered_no_formal_test,N-EVALUATION-COMPARISON-LEDGER-0051-SOURCE_ROW
F_evaluation-0052,F_evaluation,model_operating_point,16,same_referral_day_only|ppv,False,,,Benjamini_Yekutieli_FDR_0.05_if_formal_tests_are_run,frozen_sensitivity_rule_estimates_and_intervals_only_no_new_null_tests,comparison_registered_no_formal_test,N-EVALUATION-COMPARISON-LEDGER-0052-SOURCE_ROW
F_evaluation-0053,F_evaluation,model_operating_point,17,same_referral_day_only|npv,False,,,Benjamini_Yekutieli_FDR_0.05_if_formal_tests_are_run,frozen_sensitivity_rule_estimates_and_intervals_only_no_new_null_tests,comparison_registered_no_formal_test,N-EVALUATION-COMPARISON-LEDGER-0053-SOURCE_ROW
F_evaluation-0054,F_evaluation,model_operating_point,18,same_referral_day_only|balanced_accuracy,False,,,Benjamini_Yekutieli_FDR_0.05_if_formal_tests_are_run,frozen_sensitivity_rule_estimates_and_intervals_only_no_new_null_tests,comparison_registered_no_formal_test,N-EVALUATION-COMPARISON-LEDGER-0054-SOURCE_ROW
F_evaluation-0055,F_evaluation,model_operating_point,19,same_referral_day_only|auc,False,,,Benjamini_Yekutieli_FDR_0.05_if_formal_tests_are_run,frozen_sensitivity_rule_estimates_and_intervals_only_no_new_null_tests,comparison_registered_no_formal_test,N-EVALUATION-COMPARISON-LEDGER-0055-SOURCE_ROW
F_evaluation-0056,F_evaluation,model_operating_point,20,same_referral_day_only|brier,False,,,Benjamini_Yekutieli_FDR_0.05_if_formal_tests_are_run,frozen_sensitivity_rule_estimates_and_intervals_only_no_new_null_tests,comparison_registered_no_formal_test,N-EVALUATION-COMPARISON-LEDGER-0056-SOURCE_ROW
F_evaluation-0057,F_evaluation,model_operating_point,21,same_referral_day_only|log_loss,False,,,Benjamini_Yekutieli_FDR_0.05_if_formal_tests_are_run,frozen_sensitivity_rule_estimates_and_intervals_only_no_new_null_tests,comparison_registered_no_formal_test,N-EVALUATION-COMPARISON-LEDGER-0057-SOURCE_ROW
F_evaluation-0058,F_evaluation,model_operating_point,22,same_referral_day_only|calibration_intercept,False,,,Benjamini_Yekutieli_FDR_0.05_if_formal_tests_are_run,frozen_sensitivity_rule_estimates_and_intervals_only_no_new_null_tests,comparison_registered_no_formal_test,N-EVALUATION-COMPARISON-LEDGER-0058-SOURCE_ROW
F_evaluation-0059,F_evaluation,model_operating_point,23,same_referral_day_only|calibration_slope,False,,,Benjamini_Yekutieli_FDR_0.05_if_formal_tests_are_run,frozen_sensitivity_rule_estimates_and_intervals_only_no_new_null_tests,comparison_registered_no_formal_test,N-EVALUATION-COMPARISON-LEDGER-0059-SOURCE_ROW
F_evaluation-0060,F_evaluation,model_operating_point,24,same_referral_day_only|predicted_positive_fraction,False,,,Benjamini_Yekutieli_FDR_0.05_if_formal_tests_are_run,frozen_sensitivity_rule_estimates_and_intervals_only_no_new_null_tests,comparison_registered_no_formal_test,N-EVALUATION-COMPARISON-LEDGER-0060-SOURCE_ROW
F_evaluation-0061,F_evaluation,model_operating_point,25,same_referral_day_only|threshold_harm_to_benefit_ratio,False,,,Benjamini_Yekutieli_FDR_0.05_if_formal_tests_are_run,frozen_sensitivity_rule_estimates_and_intervals_only_no_new_null_tests,comparison_registered_no_formal_test,N-EVALUATION-COMPARISON-LEDGER-0061-SOURCE_ROW
F_evaluation-0062,F_evaluation,model_operating_point,26,same_referral_day_only|net_benefit_at_used_threshold,False,,,Benjamini_Yekutieli_FDR_0.05_if_formal_tests_are_run,frozen_sensitivity_rule_estimates_and_intervals_only_no_new_null_tests,comparison_registered_no_formal_test,N-EVALUATION-COMPARISON-LEDGER-0062-SOURCE_ROW
F_evaluation-0063,F_evaluation,model_subgroups,1,site|A|sensitivity,False,,,Benjamini_Yekutieli_FDR_0.05_if_formal_tests_are_run,frozen_sensitivity_rule_estimates_and_intervals_only_no_new_null_tests,comparison_registered_no_formal_test,N-EVALUATION-COMPARISON-LEDGER-0063-SOURCE_ROW
F_evaluation-0064,F_evaluation,model_subgroups,2,site|A|specificity,False,,,Benjamini_Yekutieli_FDR_0.05_if_formal_tests_are_run,frozen_sensitivity_rule_estimates_and_intervals_only_no_new_null_tests,comparison_registered_no_formal_test,N-EVALUATION-COMPARISON-LEDGER-0064-SOURCE_ROW
F_evaluation-0065,F_evaluation,model_subgroups,3,site|A|brier,False,,,Benjamini_Yekutieli_FDR_0.05_if_formal_tests_are_run,frozen_sensitivity_rule_estimates_and_intervals_only_no_new_null_tests,comparison_registered_no_formal_test,N-EVALUATION-COMPARISON-LEDGER-0065-SOURCE_ROW
F_evaluation-0066,F_evaluation,model_subgroups,4,site|A|net_benefit,False,,,Benjamini_Yekutieli_FDR_0.05_if_formal_tests_are_run,frozen_sensitivity_rule_estimates_and_intervals_only_no_new_null_tests,comparison_registered_no_formal_test,N-EVALUATION-COMPARISON-LEDGER-0066-SOURCE_ROW
F_evaluation-0067,F_evaluation,model_subgroups,5,site|B|sensitivity,False,,,Benjamini_Yekutieli_FDR_0.05_if_formal_tests_are_run,frozen_sensitivity_rule_estimates_and_intervals_only_no_new_null_tests,comparison_registered_no_formal_test,N-EVALUATION-COMPARISON-LEDGER-0067-SOURCE_ROW
F_evaluation-0068,F_evaluation,model_subgroups,6,site|B|specificity,False,,,Benjamini_Yekutieli_FDR_0.05_if_formal_tests_are_run,frozen_sensitivity_rule_estimates_and_intervals_only_no_new_null_tests,comparison_registered_no_formal_test,N-EVALUATION-COMPARISON-LEDGER-0068-SOURCE_ROW
F_evaluation-0069,F_evaluation,model_subgroups,7,site|B|brier,False,,,Benjamini_Yekutieli_FDR_0.05_if_formal_tests_are_run,frozen_sensitivity_rule_estimates_and_intervals_only_no_new_null_tests,comparison_registered_no_formal_test,N-EVALUATION-COMPARISON-LEDGER-0069-SOURCE_ROW
F_evaluation-0070,F_evaluation,model_subgroups,8,site|B|net_benefit,False,,,Benjamini_Yekutieli_FDR_0.05_if_formal_tests_are_run,frozen_sensitivity_rule_estimates_and_intervals_only_no_new_null_tests,comparison_registered_no_formal_test,N-EVALUATION-COMPARISON-LEDGER-0070-SOURCE_ROW
F_evaluation-0071,F_evaluation,model_subgroups,9,sex|F|sensitivity,False,,,Benjamini_Yekutieli_FDR_0.05_if_formal_tests_are_run,frozen_sensitivity_rule_estimates_and_intervals_only_no_new_null_tests,comparison_registered_no_formal_test,N-EVALUATION-COMPARISON-LEDGER-0071-SOURCE_ROW
F_evaluation-0072,F_evaluation,model_subgroups,10,sex|F|specificity,False,,,Benjamini_Yekutieli_FDR_0.05_if_formal_tests_are_run,frozen_sensitivity_rule_estimates_and_intervals_only_no_new_null_tests,comparison_registered_no_formal_test,N-EVALUATION-COMPARISON-LEDGER-0072-SOURCE_ROW
F_evaluation-0073,F_evaluation,model_subgroups,11,sex|F|brier,False,,,Benjamini_Yekutieli_FDR_0.05_if_formal_tests_are_run,frozen_sensitivity_rule_estimates_and_intervals_only_no_new_null_tests,comparison_registered_no_formal_test,N-EVALUATION-COMPARISON-LEDGER-0073-SOURCE_ROW
F_evaluation-0074,F_evaluation,model_subgroups,12,sex|F|net_benefit,False,,,Benjamini_Yekutieli_FDR_0.05_if_formal_tests_are_run,frozen_sensitivity_rule_estimates_and_intervals_only_no_new_null_tests,comparison_registered_no_formal_test,N-EVALUATION-COMPARISON-LEDGER-0074-SOURCE_ROW
F_evaluation-0075,F_evaluation,model_subgroups,13,sex|M|sensitivity,False,,,Benjamini_Yekutieli_FDR_0.05_if_formal_tests_are_run,frozen_sensitivity_rule_estimates_and_intervals_only_no_new_null_tests,comparison_registered_no_formal_test,N-EVALUATION-COMPARISON-LEDGER-0075-SOURCE_ROW
F_evaluation-0076,F_evaluation,model_subgroups,14,sex|M|specificity,False,,,Benjamini_Yekutieli_FDR_0.05_if_formal_tests_are_run,frozen_sensitivity_rule_estimates_and_intervals_only_no_new_null_tests,comparison_registered_no_formal_test,N-EVALUATION-COMPARISON-LEDGER-0076-SOURCE_ROW
F_evaluation-0077,F_evaluation,model_subgroups,15,sex|M|brier,False,,,Benjamini_Yekutieli_FDR_0.05_if_formal_tests_are_run,frozen_sensitivity_rule_estimates_and_intervals_only_no_new_null_tests,comparison_registered_no_formal_test,N-EVALUATION-COMPARISON-LEDGER-0077-SOURCE_ROW
F_evaluation-0078,F_evaluation,model_subgroups,16,sex|M|net_benefit,False,,,Benjamini_Yekutieli_FDR_0.05_if_formal_tests_are_run,frozen_sensitivity_rule_estimates_and_intervals_only_no_new_null_tests,comparison_registered_no_formal_test,N-EVALUATION-COMPARISON-LEDGER-0078-SOURCE_ROW
F_evaluation-0079,F_evaluation,model_subgroups,17,age_band|age_40_64|sensitivity,False,,,Benjamini_Yekutieli_FDR_0.05_if_formal_tests_are_run,frozen_sensitivity_rule_estimates_and_intervals_only_no_new_null_tests,comparison_registered_no_formal_test,N-EVALUATION-COMPARISON-LEDGER-0079-SOURCE_ROW
F_evaluation-0080,F_evaluation,model_subgroups,18,age_band|age_40_64|specificity,False,,,Benjamini_Yekutieli_FDR_0.05_if_formal_tests_are_run,frozen_sensitivity_rule_estimates_and_intervals_only_no_new_null_tests,comparison_registered_no_formal_test,N-EVALUATION-COMPARISON-LEDGER-0080-SOURCE_ROW
F_evaluation-0081,F_evaluation,model_subgroups,19,age_band|age_40_64|brier,False,,,Benjamini_Yekutieli_FDR_0.05_if_formal_tests_are_run,frozen_sensitivity_rule_estimates_and_intervals_only_no_new_null_tests,comparison_registered_no_formal_test,N-EVALUATION-COMPARISON-LEDGER-0081-SOURCE_ROW
F_evaluation-0082,F_evaluation,model_subgroups,20,age_band|age_40_64|net_benefit,False,,,Benjamini_Yekutieli_FDR_0.05_if_formal_tests_are_run,frozen_sensitivity_rule_estimates_and_intervals_only_no_new_null_tests,comparison_registered_no_formal_test,N-EVALUATION-COMPARISON-LEDGER-0082-SOURCE_ROW
F_evaluation-0083,F_evaluation,model_subgroups,21,age_band|age_ge_65|sensitivity,False,,,Benjamini_Yekutieli_FDR_0.05_if_formal_tests_are_run,frozen_sensitivity_rule_estimates_and_intervals_only_no_new_null_tests,comparison_registered_no_formal_test,N-EVALUATION-COMPARISON-LEDGER-0083-SOURCE_ROW
F_evaluation-0084,F_evaluation,model_subgroups,22,age_band|age_ge_65|specificity,False,,,Benjamini_Yekutieli_FDR_0.05_if_formal_tests_are_run,frozen_sensitivity_rule_estimates_and_intervals_only_no_new_null_tests,comparison_registered_no_formal_test,N-EVALUATION-COMPARISON-LEDGER-0084-SOURCE_ROW
F_evaluation-0085,F_evaluation,model_subgroups,23,age_band|age_ge_65|brier,False,,,Benjamini_Yekutieli_FDR_0.05_if_formal_tests_are_run,frozen_sensitivity_rule_estimates_and_intervals_only_no_new_null_tests,comparison_registered_no_formal_test,N-EVALUATION-COMPARISON-LEDGER-0085-SOURCE_ROW
