table,declared_grain,rows,duplicate_grains,null_grain_keys,passed,quantity_status,rows_number_id,duplicate_grains_number_id,null_grain_keys_number_id
reviewer_agreement,comparison;metric,4,0,0,True,recomputed_contract,N-TABLE-CONTRACTS-0026-ROWS,N-TABLE-CONTRACTS-0026-DUPLICATE_GRAINS,N-TABLE-CONTRACTS-0026-NULL_GRAIN_KEYS
sequential_rules,look,3,0,0,True,recomputed_contract,N-TABLE-CONTRACTS-0027-ROWS,N-TABLE-CONTRACTS-0027-DUPLICATE_GRAINS,N-TABLE-CONTRACTS-0027-NULL_GRAIN_KEYS
study_assignment,component_id,8,0,0,True,recomputed_contract,N-TABLE-CONTRACTS-0028-ROWS,N-TABLE-CONTRACTS-0028-DUPLICATE_GRAINS,N-TABLE-CONTRACTS-0028-NULL_GRAIN_KEYS
study_design,element,12,0,0,True,recomputed_contract,N-TABLE-CONTRACTS-0029-ROWS,N-TABLE-CONTRACTS-0029-DUPLICATE_GRAINS,N-TABLE-CONTRACTS-0029-NULL_GRAIN_KEYS
study_feasibility,decision,1,0,0,True,recomputed_contract,N-TABLE-CONTRACTS-0030-ROWS,N-TABLE-CONTRACTS-0030-DUPLICATE_GRAINS,N-TABLE-CONTRACTS-0030-NULL_GRAIN_KEYS
threshold_consequences,context,2,0,0,True,recomputed_contract,N-TABLE-CONTRACTS-0031-ROWS,N-TABLE-CONTRACTS-0031-DUPLICATE_GRAINS,N-TABLE-CONTRACTS-0031-NULL_GRAIN_KEYS
uplift_curve,population_fraction,10,0,0,True,recomputed_contract,N-TABLE-CONTRACTS-0032-ROWS,N-TABLE-CONTRACTS-0032-DUPLICATE_GRAINS,N-TABLE-CONTRACTS-0032-NULL_GRAIN_KEYS
uplift_flow,flow,4,0,0,True,recomputed_contract,N-TABLE-CONTRACTS-0033-ROWS,N-TABLE-CONTRACTS-0033-DUPLICATE_GRAINS,N-TABLE-CONTRACTS-0033-NULL_GRAIN_KEYS
uplift_overlap_calibration,score_bin,10,0,0,True,recomputed_contract,N-TABLE-CONTRACTS-0034-ROWS,N-TABLE-CONTRACTS-0034-DUPLICATE_GRAINS,N-TABLE-CONTRACTS-0034-NULL_GRAIN_KEYS
uplift_summary,metric,6,0,0,True,recomputed_contract,N-TABLE-CONTRACTS-0035-ROWS,N-TABLE-CONTRACTS-0035-DUPLICATE_GRAINS,N-TABLE-CONTRACTS-0035-NULL_GRAIN_KEYS
table_contracts,table,36,0,0,True,recomputed_contract,N-TABLE-CONTRACTS-0036-ROWS,N-TABLE-CONTRACTS-0036-DUPLICATE_GRAINS,N-TABLE-CONTRACTS-0036-NULL_GRAIN_KEYS
