monitor_id,defect,detection_mechanism,escalation,stop_authority,coverage_status
POP-01,clinician-service attributes conflict with event facts,service_site_ward_mix,BY_q_below_0.05_two_weeks,clinical_operations_lead,would_detect_or_contain_if_deployed
POP-01,snapshot or dimension keys unmatched,service_site_ward_mix,BY_q_below_0.05_two_weeks,clinical_operations_lead,would_detect_or_contain_if_deployed
POP-02,Simpson's paradox and case-mix shift,age_sex_case_mix_PSI,PSI_above_0.20_two_weeks,clinical_operations_lead,would_detect_or_contain_if_deployed
POP-02,local workload smaller than evaluation workload,age_sex_case_mix_PSI,PSI_above_0.20_two_weeks,clinical_operations_lead,would_detect_or_contain_if_deployed
MOD-01,model score drift,score_live_PSI_and_threshold_version,PSI_above_0.20_two_weeks_or_threshold_unregistered,clinical_safety_officer,would_detect_or_contain_if_deployed
MOD-01,threshold selection period unavailable,score_live_PSI_and_threshold_version,PSI_above_0.20_two_weeks_or_threshold_unregistered,clinical_safety_officer,would_detect_or_contain_if_deployed
MOD-01,hidden sealed mutation behavior underspecified,score_live_PSI_and_threshold_version,PSI_above_0.20_two_weeks_or_threshold_unregistered,clinical_safety_officer,would_detect_or_contain_if_deployed
MOD-02,batch/live null handling differs,batch_live_delta_by_null_pattern,BY_q_below_0.05_two_weeks,clinical_safety_officer,would_detect_or_contain_if_deployed
MOD-02,feature lineage missing,batch_live_delta_by_null_pattern,BY_q_below_0.05_two_weeks,clinical_safety_officer,would_detect_or_contain_if_deployed
MOD-02,temporal leakage,batch_live_delta_by_null_pattern,BY_q_below_0.05_two_weeks,clinical_safety_officer,would_detect_or_contain_if_deployed
CAL-01,recommendation model miscalibration,Brier_log_loss_ECE_calibration_slope,minimum_200_cases_and_two_breaches,clinical_safety_officer,would_detect_or_contain_if_deployed
CAL-01,post-outcome leakage invalidates performance,Brier_log_loss_ECE_calibration_slope,minimum_200_cases_and_two_breaches,clinical_safety_officer,would_detect_or_contain_if_deployed
ACT-01,interference and clinician behavior,recommendation_display_accept_override_abstain,BY_q_below_0.05_two_weeks,clinical_safety_officer,would_detect_or_contain_if_deployed
ACT-01,survival-to-assessment selection,recommendation_display_accept_override_abstain,BY_q_below_0.05_two_weeks,clinical_safety_officer,would_detect_or_contain_if_deployed
LAB-01,reviewer disagreement,reviewer_agreement_kappa_AC1_and_unresolved_rate,lower_bound_below_approved_floor,clinical_governance,would_detect_or_contain_if_deployed
LAB-01,missing adjudication,reviewer_agreement_kappa_AC1_and_unresolved_rate,lower_bound_below_approved_floor,clinical_governance,would_detect_or_contain_if_deployed
LAB-01,nonrandom label sampling,reviewer_agreement_kappa_AC1_and_unresolved_rate,lower_bound_below_approved_floor,clinical_governance,would_detect_or_contain_if_deployed
LLM-01,same-family judge dependence,judge_sensitivity_specificity_by_family,either_lower_bound_below_0.90,clinical_safety_officer,would_detect_or_contain_if_deployed
LLM-01,LLM judge false approval or false hold,judge_sensitivity_specificity_by_family,either_lower_bound_below_0.90,clinical_safety_officer,would_detect_or_contain_if_deployed
OUT-01,small segment false alert,day_of_surgery_cancellation_rate,BY_q_below_0.05_same_direction_two_weeks,clinical_safety_officer,would_detect_or_contain_if_deployed
OUT-01,regression to mean,day_of_surgery_cancellation_rate,BY_q_below_0.05_same_direction_two_weeks,clinical_safety_officer,would_detect_or_contain_if_deployed
OUT-01,seasonality,day_of_surgery_cancellation_rate,BY_q_below_0.05_same_direction_two_weeks,clinical_safety_officer,would_detect_or_contain_if_deployed
OUT-01,general cancellation endpoint substituted for day-of-surgery,day_of_surgery_cancellation_rate,BY_q_below_0.05_same_direction_two_weeks,clinical_safety_officer,would_detect_or_contain_if_deployed
OUT-02,administrative censoring,referral_to_readiness_RMST_and_censoring,harm_boundary_or_two_breaches,clinical_safety_officer,would_detect_or_contain_if_deployed
OUT-02,nonrandom missingness,referral_to_readiness_RMST_and_censoring,harm_boundary_or_two_breaches,clinical_safety_officer,would_detect_or_contain_if_deployed
OUT-02,scheduling-policy cointervention,referral_to_readiness_RMST_and_censoring,harm_boundary_or_two_breaches,clinical_safety_officer,would_detect_or_contain_if_deployed
UPL-01,uplift AUC misuse,uplift_overlap_Qini_AUUC_policy_value,positivity_failure_or_negative_policy_value,clinical_governance,would_detect_or_contain_if_deployed
UPL-01,treatment assignment mechanism absent,uplift_overlap_Qini_AUUC_policy_value,positivity_failure_or_negative_policy_value,clinical_governance,would_detect_or_contain_if_deployed
UPL-01,targeting positivity violation,uplift_overlap_Qini_AUUC_policy_value,positivity_failure_or_negative_policy_value,clinical_governance,would_detect_or_contain_if_deployed
PROV-01,provenance failure,full_version_tuple_and_artifact_hash,immediate,data_steward,would_detect_or_contain_if_deployed
PROV-01,volatile metadata breaks byte identity,full_version_tuple_and_artifact_hash,immediate,data_steward,would_detect_or_contain_if_deployed
PROV-01,partial failure publishes mixed generation,full_version_tuple_and_artifact_hash,immediate,data_steward,would_detect_or_contain_if_deployed
AUTH-01,authorization violation or untrusted note instruction,authorization_boundary_violation,immediate,clinical_safety_officer,would_detect_or_contain_if_deployed
AUTH-01,unauthorized autonomous use,authorization_boundary_violation,immediate,clinical_safety_officer,would_detect_or_contain_if_deployed
SCALE-01,local workload smaller than evaluation workload,sealed_scale_runtime_memory_and_mutation_qualification,hard_release_gate,data_steward,would_detect_or_contain_if_deployed
SCALE-01,hidden sealed mutation behavior underspecified,sealed_scale_runtime_memory_and_mutation_qualification,hard_release_gate,data_steward,would_detect_or_contain_if_deployed
